排名,标题,分数,播放量,Up主,Up Id,URL
1,学了十年代码写的《狂扁小朋友》,4573194,"
              425.1万
            ","
                M木糖M
              ",33824345,//www.bilibili.com/video/BV1AU4y1u7Uo
2,史上最离谱随机挑战！蹭饭名人堂大团圆了！【番外篇2】,4219958,"
              315.4万
            ","
                雨哥到处跑
              ",147166910,//www.bilibili.com/video/BV1zQ4y1U73y
3,史上最离谱随机挑战！他们终于回家吃饭了！【番外篇】,4015420,"
              392.8万
            ","
                宝剑嫂
              ",113362335,//www.bilibili.com/video/BV1EU4y1u7tH
4,我 今 年 最 开 心 的 视 频,3674793,"
              265.4万
            ","
                啊吗粽
              ",7552204,//www.bilibili.com/video/BV15L4y1i73a
5,狗是谁？,3632886,"
              309.9万
            ","
                小潮院长
              ",5970160,//www.bilibili.com/video/BV13b4y1b7ca
6,课 堂 请 勿 对 对 子【第二季】4.0 ！！！,3306544,"
              203.1万
            ","
                三十六贱笑
              ",90361813,//www.bilibili.com/video/BV1mR4y1t7DF
7,从没想过，我粉丝数破600万的那天，竟会被迫做这种事！,3150901,"
              206.3万
            ","
                盗月社食遇记
              ",99157282,//www.bilibili.com/video/BV1r34y1d7oG
8,就离谱！怎么会这样啊？给我看傻了！,3088038,"
              293.3万
            ","
                未名柒柒
              ",19022637,//www.bilibili.com/video/BV1MP4y1L7aw
9,⚡朝你大胯捏两把⚡,2786771,"
              164.3万
            ","
                伊丽莎白鼠
              ",375375,//www.bilibili.com/video/BV1VL411g7U9
10,步兵巅峰！全是军官的部队，老A！《士兵突击》P7,2616273,"
              169.4万
            ","
                木鱼水心
              ",927587,//www.bilibili.com/video/BV1X34y1d7WK
11,说 唱 薪 逝 贷,2518347,"
              271.9万
            ","
                自动鬼畜中的WZ
              ",16054375,//www.bilibili.com/video/BV16S4y1d7fh
12,演员的蛋生,2423143,"
              164.6万
            ","
                杜海皇
              ",178029850,//www.bilibili.com/video/BV1iQ4y1U7D6
13,“太阳啊，拥抱我吧”,2260989,"
              225.6万
            ","
                整活专家阿喵
              ",383786357,//www.bilibili.com/video/BV1gh41147w6
14,随机挑战UP主们立定跳远！应该没人能打败我吧？,2254666,"
              133.9万
            ","
                中国BOY超级大猩猩
              ",562197,//www.bilibili.com/video/BV13Y411472j
15,外国消防员：早知道中国消防员这样，我就不来了,2141894,"
              673.3万
            ","
                陈花旦
              ",675522076,//www.bilibili.com/video/BV1QU4y1M7aq
16,总是胡思乱想、心累、焦虑？如何停止精神内耗？,2133962,"
              123.3万
            ","
                杨真直
              ",547173382,//www.bilibili.com/video/BV1XP4y1G7gi
17,先 礼 后 兵  ，乱 世 大 鹅 ！,2111978,"
              122.2万
            ","
                导演小策
              ",81824112,//www.bilibili.com/video/BV1aQ4y1U72W
18,【时代少年团】《这福气给你要不要》之拿来吧！硬菜,2078055,"
              203.1万
            ","
                TF家族
              ",3670216,//www.bilibili.com/video/BV1Eh41147Je
19,前方高能！《孤勇者》女声版 超A燃炸！！,2048353,"
              275.3万
            ","
                祖娅纳惜
              ",3046429,//www.bilibili.com/video/BV1dS4y197kY
20,⚡人 类 带 货 天 花 板⚡,2033540,"
              195.6万
            ","
                深海色带鱼
              ",5374954,//www.bilibili.com/video/BV1uL4y1i7Sp
21,《斛珠夫人》就是烂剧烂剧烂剧烂剧！！！,2032866,"
              181.8万
            ","
                路温1900
              ",414336759,//www.bilibili.com/video/BV15r4y1k7NA
22,美国警察：放心只是做个笔录！（挥棒,2025485,"
              152.1万
            ","
                机智的碎月
              ",2063605,//www.bilibili.com/video/BV163411t794
23,耗3小时，做500根串串，我已经能去楼下开店了。,1945257,"
              138.3万
            ","
                日食记
              ",8960728,//www.bilibili.com/video/BV1cF411a7Wr
24,就XX离谱！锐评辉夜大小姐漫画骚操作！UP主看完直接高喊退钱！,1851177,"
              120.6万
            ","
                瓶子君152
              ",730732,//www.bilibili.com/video/BV1Wf4y1M71Y
25,⚡️你 妈 妈 的 歌 声 里⚡️,1836805,"
              135.2万
            ","
                JKAI杰凯
              ",7295246,//www.bilibili.com/video/BV1Fq4y1g7rM
26,被国货的团结给整破防了,1801750,"
              236.3万
            ","
                中视央广传媒
              ",270090656,//www.bilibili.com/video/BV1BQ4y1U7kK
27,《原神》小剧场——「蒙德茶会」第四期,1751696,"
              122.9万
            ","
                原神
              ",401742377,//www.bilibili.com/video/BV1Mq4y1g7wE
28,司马南：联想的金融帝国——钱生钱，资本永不眠 （联想系列7）,1745535,"
              49.1万
            ","
                司马南
              ",612492134,//www.bilibili.com/video/BV1j44y1Y7mT
